AGENT PROPERTIES,Archivos en Carpeta Raiz Agente,BUS,Estado Servicio,FILIAL,FINAL PATH,Fecha de Creacion,GLUSTER PATH,Grupo,HOST,IP,NOMBRE DEL SERVICIO DEL FORWARDER,NOTAS FORWARDER,Nombre,Notas,Notas IP Puerto,Notas servicio,PHYSICAL PATH,PUERTO,Peso,Propietario,REMOTE HOST,REMOTE PORT,RUTA FORWARDER,Ruta Agente,Ruta Servicio,SEVERITY,Servicio,Tipo,Tipo de Agente,HASH(0x106fb41a7c0)
Si,AGENT.properties agente_aems_mex.pl,ithvvwteclrap01,UNKNOWN - -> - aems_mex,MEXICO,No contiene - final path,Desconocida,/mnt/umplogic/AEMS_MEX,Desconocido,/opt/UMP/AGENTES/AEMS_MEX/CONF/AMAsciiNameTable,10.152.74.247,AEMS_MEX,,AEMS_MEX,,,,/mnt/umplogic/AEMS_MEX,62209,0.1,Desconocido,100.127.5.10,10161,BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/AEMS_MEX_forwarder.xml,BUS\BUS_1\opt\UMP\AGENTES/AEMS_MEX,BUS\BUS_1\etc\systemd\system/agt_aems_mex.service,,agt_aems_mex.service,carpeta,SNMP,
No,affirmed.pcap agente_affirmed_mex.pl agente_affirmed_mex_bkp_22_02_22.pl,ithvvwteclrap01,UNKNOWN - -> - affirmed_mex,MEXICO,No contiene - final path,Desconocida,No encontrado,Desconocido,,10.152.74.247,No encontrado,,AFFIRMED_MEX,,,,No encontrado,11162,0.1,Desconocido,No encontrado,No encontrado,BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/AFFIRMED_MEX_VTEMIP_forwarder.xml,BUS\BUS_1\opt\UMP\AGENTES/AFFIRMED_MEX,BUS\BUS_1\etc\systemd\system/agt_affirmed_mex.service,,agt_affirmed_mex.service,carpeta,SNMP,
No,.agente_cee_mex.pl.swp agente_ccm_crv_mex.pl mapping.csv mapping.csv_bkp mappingAddText.csv,ithvvwteclrap01,UNKNOWN - -> - ccm_crv_mex,MEXICO,No contiene - final path,Desconocida,No encontrado,Desconocido,,10.152.74.247,No encontrado,,CCM_CRV_MEX,,,,No encontrado,37162,0.1,Desconocido,No encontrado,No encontrado,BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/CCM_MEX_VTEMIP_forwarder.xml,BUS\BUS_1\opt\UMP\AGENTES/CCM_CRV_MEX,BUS\BUS_1\etc\systemd\system/agt_ccm_crv_mex.service,,agt_ccm_crv_mex.service,carpeta,SNMP,
No,.agente_cee_mex.pl.swp .mapping.csv.swp agente_ccm_mex.pl agente_ccm_mex_bkp_23_02_22.pl mapping.csv mapping.csv_bkp mappingAddText.csv mappingAddText.csv_bkp test.pl,ithvvwteclrap01,UNKNOWN - -> - iot_ccm_mex - UNKNOWN - -> - ccm_mex,MEXICO,No contiene - final path,Desconocida,No encontrado,Desconocido,,10.152.74.247,No encontrado,,CCM_MEX,,, - ,No encontrado,26164,0.1,Desconocido,No encontrado,No encontrado,BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/CCM_MEX_VTEMIP_forwarder.xml,BUS\BUS_1\opt\UMP\AGENTES/CCM_MEX,BUS\BUS_1\etc\systemd\system/agt_iot_ccm_mex.service - BUS\BUS_1\etc\systemd\system/agt_ccm_mex.service,,agt_iot_ccm_mex.service agt_ccm_mex.service,carpeta,SNMP,
No,.agt_ciscoana_mex.swp agente_ciscoana_mex.pl agente_ciscoana_mex.pl_bkp_30_10_2023,ithvvwteclrap01,UNKNOWN - -> - ciscoana_mex,MEXICO,No contiene - final path,Desconocida,No encontrado,Desconocido,,,No encontrado,,CISCOANA_MEX,, Se le asigna la IP del Local host,,No encontrado,Desconocido,0.1,Desconocido,No encontrado,No encontrado,BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/CISCOANA_MEX_forwarder.xml,BUS\BUS_1\opt\UMP\AGENTES/CISCOANA_MEX,BUS\BUS_1\etc\systemd\system/agt_ciscoana_mex.service,,agt_ciscoana_mex.service,carpeta,SNMP,
Si,AGENT.properties agente_concord_mex.pl agente_concord_mex_22_02_22.pl,ithvvwteclrap01,UNKNOWN - -> - concord_mex,MEXICO,No contiene - final path - No contiene - final path,Desconocida,/mnt/umplogic/CONCORD_MEX - /mnt/umplogic/CONCORD_MEX_DESARROLLO,Desconocido,/opt/UMP/AGENTES/CONCORD_MEX/CONF/AMAsciiNameTable,10.152.74.247,CONCORD_MEX - CONCORD_MEX_VTEMIP,,CONCORD_MEX,,,,/mnt/umplogic/CONCORD_MEX - /mnt/umplogic/CONCORD_MEX_DESARROLLO,2268,0.1,Desconocido,100.127.5.10 - 100.127.5.10,10008 - 15013,BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/CONCORD_MEX_forwarder.xml - BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/CONCORD_MEX_VTEMIP_forwarder.xml,BUS\BUS_1\opt\UMP\AGENTES/CONCORD_MEX,BUS\BUS_1\etc\systemd\system/agt_concord_mex.service,,agt_concord_mex.service,carpeta,SNMP,
Si,AGENT.properties agente_snmp_cuom_mex.pl,ithvvwteclrap01,UNKNOWN - -> - cuom_mex,MEXICO,No contiene - final path - No contiene - final path,Desconocida,No encontrado - No encontrado,Desconocido,,,No encontrado - No encontrado,,CUOM_MEX,, Se le asigna la IP del Local host,,No encontrado - No encontrado,Desconocido,0.1,Desconocido,No encontrado - No encontrado,No encontrado - No encontrado,BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/CUOM_MEX_forwarder.xml - BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/CUOM_MEX_VTEMIP_forwarder.xml,BUS\BUS_1\opt\UMP\AGENTES/CUOM_MEX,BUS\BUS_1\etc\systemd\system/agt_cuom_mex.service,,agt_cuom_mex.service,carpeta,SNMP,
No,agente_snmp_cvim_mex.pl agente_snmp_cvim_mex_bkp_23_02_22.pl heartbeat.pl registroFS.pl tiempo.pl,ithvvwteclrap01,UNKNOWN - -> - cvim_mex,MEXICO,No contiene - final path,Desconocida,No encontrado,Desconocido,,,No encontrado,,CVIM_MEX,, Se le asigna la IP del Local host,,No encontrado,Desconocido,0.1,Desconocido,No encontrado,No encontrado,BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/CVIM_MEX_VTEMIP_forwarder.xml,BUS\BUS_1\opt\UMP\AGENTES/CVIM_MEX,BUS\BUS_1\etc\systemd\system/agt_cvim_mex.service,,agt_cvim_mex.service,carpeta,SNMP,
No,agente_snmp_digitalview_mex.pl agente_snmp_digitalview_mex_bkp_22_02_22.pl,ithvvwteclrap02,,MEXICO,No contiene - final path,Desconocida,No encontrado,Desconocido,,,No encontrado,,DIGITALVIEW_MEX,, Se le asigna la IP del Local host,,No encontrado,Desconocido,0.1,Desconocido,No encontrado,No encontrado,BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/DIGITALVIEW_MEX_VTEMIP_forwarder.xml,BUS\BUS_1\opt\UMP\AGENTES/DIGITALVIEW_MEX,,,,carpeta,SNMP,
No,affirmed.pcap agente_ems_iot.pl agente_ems_iot_bkp_23_02_22.pl,ithvvwteclrap01,UNKNOWN - -> - ems_iot,MEXICO,No contiene - final path - No contiene - final path,Desconocida,No encontrado - No encontrado,Desconocido,,,No encontrado - No encontrado,,EMS_IOT,, Se le asigna la IP del Local host,,No encontrado - No encontrado,Desconocido,0.1,Desconocido,No encontrado - No encontrado,No encontrado - No encontrado,BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/EMS_IOT_forwarder.xml - BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/EMS_IOT_MEX_VTEMIP_forwarder.xml,BUS\BUS_1\opt\UMP\AGENTES/EMS_IOT,BUS\BUS_1\etc\systemd\system/agt_ems_iot.service,,agt_ems_iot.service,carpeta,SNMP,
No,,ithvvwteclrap01,UNKNOWN - -> - enm_mex_1,MEXICO,No contiene - final path - No contiene - final path - No contiene - final path - No contiene - final path - No contiene - final path - No contiene - final path - No contiene - final path - No contiene - final path - No contiene - final path - No contiene - final path - No contiene - final path - No contiene - final path - No contiene - final path,Desconocida,No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado,Desconocido,,ithvvwteclrap01,No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado,,ENM_MEX_1,,,,No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado,62112 - 62124,0.1,Desconocido,No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado,No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado,BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/ENM_MEX_R1_forwarder.xml - BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/ENM_MEX_R1_VTEMIP_forwarder.xml - BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/ENM_MEX_R2_forwarder.xml - BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/ENM_MEX_R2_VTEMIP_forwarder.xml - BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/ENM_MEX_R3_forwarder.xml - BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/ENM_MEX_R3_VTEMIP_forwarder.xml - BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/ENM_MEX_R4A_VTEMIP_forwarder.xml - BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/ENM_MEX_R4B_VTEMIP_forwarder.xml - BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/ENM_MEX_R6A_VTEMIP_forwarder.xml - BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/ENM_MEX_R6B_VTEMIP_forwarder.xml - BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/ENM_MEX_R9A_VTEMIP_forwarder.xml - BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/ENM_MEX_R9B_VTEMIP_forwarder.xml - BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/ENM_MEX_R9C_VTEMIP_forwarder.xml,BUS\BUS_1\opt\UMP\AGENTES/ENM_MEX_1,BUS\BUS_1\etc\systemd\system/agt_enm_mex_1.service,,agt_enm_mex_1.service,carpeta,CORBA,
No,,ithvvwteclrap01,UNKNOWN - -> - enm_mex_r1_mlrca - UNKNOWN - -> - enm_mex_r1,MEXICO,No contiene - final path - No contiene - final path,Desconocida,No encontrado - No encontrado,Desconocido,,ithvvwteclrap01 - ithvvwteclrap01 - ithvvwteclrap01,No encontrado - No encontrado,,ENM_MEX_R1,,, - ,No encontrado - No encontrado,62131 - 63132 - 62131,0.1,Desconocido,No encontrado - No encontrado,No encontrado - No encontrado,BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/ENM_MEX_R1_forwarder.xml - BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/ENM_MEX_R1_VTEMIP_forwarder.xml,BUS\BUS_1\opt\UMP\AGENTES/ENM_MEX_R1,BUS\BUS_1\etc\systemd\system/agt_enm_mex_r1_mlrca.service - BUS\BUS_1\etc\systemd\system/agt_enm_mex_r1.service,,agt_enm_mex_r1_mlrca.service agt_enm_mex_r1.service,carpeta,CORBA,
No,,ithvvwteclrap01,UNKNOWN - -> - enm_mex_r2_mlrca - UNKNOWN - -> - enm_mex_r2,MEXICO,No contiene - final path - No contiene - final path,Desconocida,No encontrado - No encontrado,Desconocido,,,No encontrado - No encontrado,,ENM_MEX_R2,,No se pudo abrir los archivos crb_agent.xml o no se encontraron IPs y Puertos. Se le asigna la IP del Local host, - ,No encontrado - No encontrado,Desconocido,0.1,Desconocido,No encontrado - No encontrado,No encontrado - No encontrado,BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/ENM_MEX_R2_forwarder.xml - BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/ENM_MEX_R2_VTEMIP_forwarder.xml,BUS\BUS_1\opt\UMP\AGENTES/ENM_MEX_R2,BUS\BUS_1\etc\systemd\system/agt_enm_mex_r2_mlrca.service - BUS\BUS_1\etc\systemd\system/agt_enm_mex_r2.service,,agt_enm_mex_r2_mlrca.service agt_enm_mex_r2.service,carpeta,CORBA,
No,,ithvvwteclrap01,UNKNOWN - -> - enm_mex_r3 - UNKNOWN - -> - enm_mex_r1_mlrca - UNKNOWN - -> - enm_mex_1 - UNKNOWN - -> - enm_mex_r2_mlrca - UNKNOWN - -> - enm_mex_r1 - UNKNOWN - -> - enm_mex_r2 - UNKNOWN - -> - enm_mex_r3_mlrca,MEXICO,No contiene - final path - No contiene - final path - No contiene - final path - No contiene - final path - No contiene - final path - No contiene - final path - No contiene - final path - No contiene - final path - No contiene - final path - No contiene - final path - No contiene - final path - No contiene - final path - No contiene - final path,Desconocida,No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado,Desconocido,,,No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado,,ENM_MEX_R2_DESARROLLO,,No se pudo abrir los archivos crb_agent.xml o no se encontraron IPs y Puertos. Se le asigna la IP del Local host, -  -  -  -  -  - ,No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado,Desconocido,0.1,Desconocido,No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado,No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado,BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/ENM_MEX_R1_forwarder.xml - BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/ENM_MEX_R1_VTEMIP_forwarder.xml - BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/ENM_MEX_R2_forwarder.xml - BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/ENM_MEX_R2_VTEMIP_forwarder.xml - BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/ENM_MEX_R3_forwarder.xml - BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/ENM_MEX_R3_VTEMIP_forwarder.xml - BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/ENM_MEX_R4A_VTEMIP_forwarder.xml - BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/ENM_MEX_R4B_VTEMIP_forwarder.xml - BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/ENM_MEX_R6A_VTEMIP_forwarder.xml - BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/ENM_MEX_R6B_VTEMIP_forwarder.xml - BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/ENM_MEX_R9A_VTEMIP_forwarder.xml - BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/ENM_MEX_R9B_VTEMIP_forwarder.xml - BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/ENM_MEX_R9C_VTEMIP_forwarder.xml,BUS\BUS_1\opt\UMP\AGENTES/ENM_MEX_R2_DESARROLLO, - BUS\BUS_1\etc\systemd\system/agt_enm_mex_r3.service - BUS\BUS_1\etc\systemd\system/agt_enm_mex_r1_mlrca.service - BUS\BUS_1\etc\systemd\system/agt_enm_mex_1.service - BUS\BUS_1\etc\systemd\system/agt_enm_mex_r2_mlrca.service - BUS\BUS_1\etc\systemd\system/agt_enm_mex_r1.service - BUS\BUS_1\etc\systemd\system/agt_enm_mex_r2.service - BUS\BUS_1\etc\systemd\system/agt_enm_mex_r3_mlrca.service,,agt_enm_mex_r3.service agt_enm_mex_r1_mlrca.service agt_enm_mex_1.service agt_enm_mex_r2_mlrca.service agt_enm_mex_r1.service agt_enm_mex_r2.service agt_enm_mex_r3_mlrca.service,carpeta,CORBA,
No,,ithvvwteclrap01,UNKNOWN - -> - enm_mex_r3 - UNKNOWN - -> - enm_mex_r1_mlrca - UNKNOWN - -> - enm_mex_1 - UNKNOWN - -> - enm_mex_r2_mlrca - UNKNOWN - -> - enm_mex_r1 - UNKNOWN - -> - enm_mex_r2 - UNKNOWN - -> - enm_mex_r3_mlrca,MEXICO,No contiene - final path - No contiene - final path - No contiene - final path - No contiene - final path - No contiene - final path - No contiene - final path - No contiene - final path - No contiene - final path - No contiene - final path - No contiene - final path - No contiene - final path - No contiene - final path - No contiene - final path,Desconocida,No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado,Desconocido,,,No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado,,ENM_MEX_R2_old,,No se pudo abrir los archivos crb_agent.xml o no se encontraron IPs y Puertos. Se le asigna la IP del Local host, -  -  -  -  -  - ,No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado,Desconocido,0.1,Desconocido,No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado,No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado - No encontrado,BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/ENM_MEX_R1_forwarder.xml - BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/ENM_MEX_R1_VTEMIP_forwarder.xml - BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/ENM_MEX_R2_forwarder.xml - BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/ENM_MEX_R2_VTEMIP_forwarder.xml - BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/ENM_MEX_R3_forwarder.xml - BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/ENM_MEX_R3_VTEMIP_forwarder.xml - BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/ENM_MEX_R4A_VTEMIP_forwarder.xml - BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/ENM_MEX_R4B_VTEMIP_forwarder.xml - BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/ENM_MEX_R6A_VTEMIP_forwarder.xml - BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/ENM_MEX_R6B_VTEMIP_forwarder.xml - BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/ENM_MEX_R9A_VTEMIP_forwarder.xml - BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/ENM_MEX_R9B_VTEMIP_forwarder.xml - BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/ENM_MEX_R9C_VTEMIP_forwarder.xml,BUS\BUS_1\opt\UMP\AGENTES/ENM_MEX_R2_old, - BUS\BUS_1\etc\systemd\system/agt_enm_mex_r3.service - BUS\BUS_1\etc\systemd\system/agt_enm_mex_r1_mlrca.service - BUS\BUS_1\etc\systemd\system/agt_enm_mex_1.service - BUS\BUS_1\etc\systemd\system/agt_enm_mex_r2_mlrca.service - BUS\BUS_1\etc\systemd\system/agt_enm_mex_r1.service - BUS\BUS_1\etc\systemd\system/agt_enm_mex_r2.service - BUS\BUS_1\etc\systemd\system/agt_enm_mex_r3_mlrca.service,,agt_enm_mex_r3.service agt_enm_mex_r1_mlrca.service agt_enm_mex_1.service agt_enm_mex_r2_mlrca.service agt_enm_mex_r1.service agt_enm_mex_r2.service agt_enm_mex_r3_mlrca.service,carpeta,CORBA,
No,,ithvvwteclrap01,UNKNOWN - -> - enm_mex_r3 - UNKNOWN - -> - enm_mex_r3_mlrca,MEXICO,No contiene - final path - No contiene - final path,Desconocida,No encontrado - No encontrado,Desconocido,,,No encontrado - No encontrado,,ENM_MEX_R3,,No se pudo abrir los archivos crb_agent.xml o no se encontraron IPs y Puertos. Se le asigna la IP del Local host, - ,No encontrado - No encontrado,Desconocido,0.1,Desconocido,No encontrado - No encontrado,No encontrado - No encontrado,BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/ENM_MEX_R3_forwarder.xml - BUS\BUS_1\opt\UMP\FORWARDER\fwdconfig/ENM_MEX_R3_VTEMIP_forwarder.xml,BUS\BUS_1\opt\UMP\AGENTES/ENM_MEX_R3,BUS\BUS_1\etc\systemd\system/agt_enm_mex_r3.service - BUS\BUS_1\etc\systemd\system/agt_enm_mex_r3_mlrca.service,,agt_enm_mex_r3.service agt_enm_mex_r3_mlrca.service,carpeta,CORBA,
