FILIAL,BUS,AGENTE
MEXICO,ithvvwteclrap01,AEMS_MEX
MEXICO,ithvvwteclrap01,AFFIRMED_MEX
MEXICO,ithvvwteclrap01,CCM_CRV_MEX
MEXICO,ithvvwteclrap01,CCM_MEX
MEXICO,ithvvwteclrap01,CISCOANA_MEX
MEXICO,ithvvwteclrap01,CONCORD_MEX
MEXICO,ithvvwteclrap01,CUOM_MEX
MEXICO,ithvvwteclrap01,CVIM_MEX
MEXICO,ithvvwteclrap01,DIGITALVIEW_MEX
MEXICO,ithvvwteclrap01,EMS_IOT
MEXICO,ithvvwteclrap01,ENM_MEX_1
MEXICO,ithvvwteclrap01,ENM_MEX_R.tar
MEXICO,ithvvwteclrap01,ENM_MEX_R1
MEXICO,ithvvwteclrap01,ENM_MEX_R2
MEXICO,ithvvwteclrap01,ENM_MEX_R2_DESARROLLO
MEXICO,ithvvwteclrap01,ENM_MEX_R2_old
MEXICO,ithvvwteclrap01,ENM_MEX_R3
MEXICO,ithvvwteclrap01,ENM_MEX_R3_DESARROLLO
MEXICO,ithvvwteclrap01,ENM_MEX_R4A
MEXICO,ithvvwteclrap02,CCM_CEE_MEX
MEXICO,ithvvwteclrap01,ENM_MEX_R4A_DESARROLLO
MEXICO,ithvvwteclrap01,ENM_MEX_R4B
MEXICO,ithvvwteclrap02,CCM_SDI2_22_MEX
MEXICO,ithvvwteclrap01,ENM_MEX_R4B_DESARROLLO
MEXICO,ithvvwteclrap01,ENM_MEX_R6A
MEXICO,ithvvwteclrap02,CEE_10_MEX
MEXICO,ithvvwteclrap01,ENM_MEX_R6A_DESARROLLO
MEXICO,ithvvwteclrap01,ENM_MEX_R6B
MEXICO,ithvvwteclrap03,5G_EPG_MEX
MEXICO,ithvvwteclrap01,ENM_MEX_R6B_DESARROLLO
MEXICO,ithvvwteclrap01,ENM_MEX_R9A
MEXICO,ithvvwteclrap03,AFFIRMED_EMS_MEX
MEXICO,ithvvwteclrap01,ENM_MEX_R9A_DESARROLLO
ARGENTINA,ithvvwteclrap01,EXFO_COCKPIT_TELCEL
MEXICO,ithvvwteclrap01,ENM_MEX_R9B_DESARROLLO
MEXICO,ithvvwteclrap01,ENM_MEX_R9C_DESARROLLO
MEXICO,ithvvwteclrap01,ERICSSON_ORCHESTRATION_NFVI_MEX
MEXICO,ithvvwteclrap01,F5_BIG_IP_MEX
MEXICO,ithvvwteclrap01,HELIX_MEX
MEXICO,ithvvwteclrap01,HPE_C7000_MEX
MEXICO,ithvvwteclrap01,I2K_WAP
MEXICO,ithvvwteclrap01,IOT_CCM_MEX
MEXICO,ithvvwteclrap01,NCE_MEX
MEXICO,ithvvwteclrap01,MGRONE_MEX
MEXICO,ithvvwteclrap01,MONITOR_HELIX
MEXICO,ithvvwteclrap01,NAGIOS
MEXICO,ithvvwteclrap01,NETMASTER_MEX_2
MEXICO,ithvvwteclrap01,OPENSHIFT_MEX
MEXICO,ithvvwteclrap01,NETNUMEN_VFNCTECS_MEX
MEXICO,ithvvwteclrap01,NETSCOUT_MEX
MEXICO,ithvvwteclrap01,OBM_OVO_MEX
MEXICO,ithvvwteclrap01,OPERATIONCENTER_MEX
MEXICO,ithvvwteclrap01,SMART_IONIX_MEX
MEXICO,ithvvwteclrap01,SPECTRUM_MEX
MEXICO,ithvvwteclrap01,SRM_MEX
MEXICO,ithvvwteclrap01,SCOM_MEX
MEXICO,ithvvwteclrap01,SELFMON_MEX
,ithvvwteclrap01,tekelec_reportes.tar
MEXICO,ithvvwteclrap01,SEQ_ANALYST_MEX
MEXICO,ithvvwteclrap01,TEKELEC_ALARMAS
MEXICO,ithvvwteclrap01,U2020_MEX_IMASTERMAE
,ithvvwteclrap01,TEKELEC_REPORTES
MEXICO,ithvvwteclrap01,U2000_MEX_R5
MEXICO,ithvvwteclrap01,VASONASV_MEX
MEXICO,ithvvwteclrap01,U2000_MEX_R7
MEXICO,ithvvwteclrap01,U2020_R8
MEXICO,ithvvwteclrap01,VENM_MEX_REV1
MEXICO,ithvvwteclrap01,UDR_MEX
MEXICO,ithvvwteclrap01,VENM_MEX_NEX1
MEXICO,ithvvwteclrap01,VENM_MEX_NEX2
MEXICO,ithvvwteclrap02,AFFIRMED_HLR
MEXICO,ithvvwteclrap02,CEE_CRV2023_MEX
MEXICO,ithvvwteclrap02,CNOM_MEX
MEXICO,ithvvwteclrap02,DIGITALVIEW_MEX
MEXICO,ithvvwteclrap02,ENEC_MEX
MEXICO,ithvvwteclrap02,CELTRO_DMS_MEX_BAJA
ARGENTINA,ithvvwteclrap02,CISCOANA_ARG
MEXICO,ithvvwteclrap02,ENM_MEX_R4A
MEXICO,ithvvwteclrap02,ENM_MEX_R4B
MEXICO,ithvvwteclrap02,ENM_MEX_R6A
MEXICO,ithvvwteclrap01,ZTE_PDU_MEX
MEXICO,ithvvwteclrap01,ENM_MEX_R9B
MEXICO,ithvvwteclrap03,CA_PM_MEX
ARGENTINA,ithvvwteclrap02,EXFO_COCKPIT_SNMP_TELCEL
MEXICO,ithvvwteclrap02,HELIX
MEXICO,ithvvwteclrap02,HWI_I2000_MEX
MEXICO,ithvvwteclrap02,I2000_MEX
MEXICO,ithvvwteclrap02,I2K_IOT_MEX
MEXICO,ithvvwteclrap02,I2K_LTE_MEX
MEXICO,ithvvwteclrap02,ICINGA_MEX
MEXICO,ithvvwteclrap02,I_MOBIL_MEX
MEXICO,ithvvwteclrap02,ISBC_MEX
MEXICO,ithvvwteclrap02,JMS_HELIX
MEXICO,ithvvwteclrap02,MASTERCLAW_MEX
MEXICO,ithvvwteclrap02,NETMASTER_MEX
MEXICO,ithvvwteclrap02,NETNUMEN_MEX
MEXICO,ithvvwteclrap02,NETNUMEN_MW
MEXICO,ithvvwteclrap02,OCS_MVNE_OPTIVA_MEX
MEXICO,ithvvwteclrap02,OPENSHIFT_MEX
MEXICO,ithvvwteclrap02,OSS_CHARGING_SYSTEM_MEX
MEXICO,ithvvwteclrap02,SIAE_MEX
MEXICO,ithvvwteclrap02,SMART_IONIX_MEX
MEXICO,ithvvwteclrap02,SPECTRUM_MEX
MEXICO,ithvvwteclrap02,SPIDERCLOUD_MEX
MEXICO,ithvvwteclrap02,SRM_DATOS_MEX
MEXICO,ithvvwteclrap02,TECS_MEX
MEXICO,ithvvwteclrap02,TEKELEC_REPORTES
MEXICO,ithvvwteclrap02,tekelec_reportes.tar
MEXICO,ithvvwteclrap02,TIMEPICTRA_MEX
MEXICO,ithvvwteclrap02,U2000_MEX_R8
MEXICO,ithvvwteclrap02,U2000_TMF_MEX_IPRAN
MEXICO,ithvvwteclrap02,U2000_TMF_MEX_TX
MEXICO,ithvvwteclrap02,U2020_R5
MEXICO,ithvvwteclrap02,UNMS_EMS
ARGENTINA,ithvvwteclrap02,VCENTER_ARG
MEXICO,ithvvwteclrap02,VENM_MEX_REV1
MEXICO,ithvvwteclrap02,VENM_MEX_REV2
MEXICO,ithvvwteclrap02,ZTE_DIRECTOR_MEX
MEXICO,ithvvwteclrap02,ZTE_IENERGY_MEX
MEXICO,ithvvwteclrap02,ZTE_TANGO_MEX
MEXICO,ithvvwteclrap03,CA_UIM
MEXICO,ithvvwteclrap03,CCM_CRV2023_MEX
MEXICO,ithvvwteclrap03,CEE_CRV_MEX
MEXICO,ithvvwteclrap03,CEE_MEX
MEXICO,ithvvwteclrap03,CS_DIGITALVEW_MEX
MEXICO,ithvvwteclrap03,DYNATRACE_MEX
MEXICO,ithvvwteclrap03,ENEC_MEX
MEXICO,ithvvwteclrap03,ENM_MEX_R6B
MEXICO,ithvvwteclrap03,ENM_MEX_R9A
MEXICO,ithvvwteclrap03,ENM_MEX_R9B
MEXICO,ithvvwteclrap01,ZTE_UME_SBC_MEX
MEXICO,ithvvwteclrap01,ENM_MEX_R9C
MEXICO,ithvvwteclrap03,ENM_MEX_R9C
MEXICO,ithvvwteclrap01,ZTE1_UME_MEX
MEXICO,ithvvwteclrap03,ERICSSON_ORCHESTRATION_MEX
MEXICO,ithvvwteclrap03,GPE_5900_MEX
MEXICO,ithvvwteclrap03,HWI_I2000_MEX
MEXICO,ithvvwteclrap03,HWI_U2000_MEX
MEXICO,ithvvwteclrap03,I2K_LTE_MEX
MEXICO,ithvvwteclrap03,IOT_CEE_MEX
MEXICO,ithvvwteclrap03,ISBC_MEX
MEXICO,ithvvwteclrap03,NCE_MEX
MEXICO,ithvvwteclrap03,NETECO6000_MEX
MEXICO,ithvvwteclrap03,NETNUMEN_IPRAN
MEXICO,ithvvwteclrap03,NETNUMEN_MW
MEXICO,ithvvwteclrap03,NETNUMEN_VFNCZCM_MEX
MEXICO,ithvvwteclrap03,NEXENTA_MEX
MEXICO,ithvvwteclrap03,NSP_MEX
MEXICO,ithvvwteclrap03,OPENMANAGER_MEX
MEXICO,ithvvwteclrap03,OSCILLOQUARTZ_MEX
MEXICO,ithvvwteclrap03,OSS_UNIFICADO
MEXICO,ithvvwteclrap03,RTE_MEX
MEXICO,ithvvwteclrap03,SAM5620_MEX
MEXICO,ithvvwteclrap03,SMART_IONIX_ARG
MEXICO,ithvvwteclrap03,SONUS_MEX
ARGENTINA,ithvvwteclrap03,STIR_ARG
MEXICO,ithvvwteclrap03,TEKELEC_REPORTES
MEXICO,ithvvwteclrap03,tekelec_reportes.tar
MEXICO,ithvvwteclrap03,U2000_UGW
MEXICO,ithvvwteclrap03,U2020_MEX_01
MEXICO,ithvvwteclrap03,U2020_MEX_IMASTERMAE
MEXICO,ithvvwteclrap03,UNMS_EMS
MEXICO,ithvvwteclrap03,ZMC_MEX
MEXICO,ithvvwteclrap03,ZTE_DIRECTOR_MEX
MEXICO,ithvvwteclrap03,ZTE_IENERGY_MEX
MEXICO,ithvvwteclrap03,ZTE_PDU_MEX
CARIBE,ithvvwteclrap04,COMVIVA_PRI
CENAM,ithvvwteclrap04,CRI_MINILINK
CENAM,ithvvwteclrap04,NMIS_CENAM
CARIBE,ithvvwteclrap04,NPM_SolarWinds_AGT_PRI
CARIBE,ithvvwteclrap04,POLYVIEW_DMA
CARIBE,ithvvwteclrap05,5520_DMA
CARIBE,ithvvwteclrap05,C20_PRI
CARIBE,ithvvwteclrap05,CISCOPRIME_AGT_PRI
CENAM,ithvvwteclrap05,CRI_MARCONI
CARIBE,ithvvwteclrap05,ENM_PRICO
CARIBE,ithvvwteclrap05,enm_prico_agt.tar
CARIBE,ithvvwteclrap05,EPN_PRI
CARIBE,ithvvwteclrap05,METASWITCH
CARIBE,ithvvwteclrap05,TMON_PRI